m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A6000,rank,real_rank
2,1,1,1,32,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],16.002126693725586,12.709001541137695,3.2931251525878906,0.0,True,261.327392578125,7201012.130612902,0.5760809704490322,41-41,8,1,0
2,1,1,1,32,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],16.002126693725586,12.709001541137695,3.2931251525878906,0.0,True,104.51934814453125,7201012.130612902,0.5760809704490322,41-41,8,1,0
1,2,1,1,32,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],16.002126693725586,12.709001541137695,3.2931251525878906,0.0,True,156.7693328857422,7201012.130612902,0.5760809704490322,41-41,8,1,0
1,2,1,1,32,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],16.002126693725586,12.709001541137695,3.2931251525878906,0.0,True,313.577392578125,7201012.130612902,0.5760809704490322,41-41,8,1,0
1,2,1,1,32,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],16.002126693725586,12.709001541137695,3.2931251525878906,0.0,True,156.7693328857422,7201012.130612902,0.5760809704490322,41-41,8,1,0
2,1,1,1,32,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],17.64868927001953,12.709001541137695,4.939687728881836,0.0,True,104.51934814453125,7941970.961438497,0.6353576769150797,41-41,8,6,0
4,1,1,2,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",17.883888244628906,16.182579097381243,1.6139280796051025,0.08738133311271667,True,94.35102844238281,8047811.310142516,0.6438249048114013,20-20,8,7,0
4,1,1,2,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",17.883888244628906,16.182579097381243,1.6139280796051025,0.08738133311271667,True,169.8511962890625,8047811.310142516,0.6438249048114013,20-20,8,7,0
2,2,2,1,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],18.279024124145508,16.665096282958984,1.6139276027679443,0.0,True,165.38621520996094,8225623.816948571,0.6580499053558857,41-41,8,9,0
2,2,2,1,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],18.279024124145508,16.665096282958984,1.6139276027679443,0.0,True,89.8833236694336,8225623.816948571,0.6580499053558857,41-41,8,9,0
