m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A6000,rank,real_rank
4,1,4,1,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.76430606842041,9.936861991882324,0.8274437785148621,0.0,True,71.78282165527344,9687949.61568684,0.7750359692549471,41-41,16,9,0
2,1,2,1,32,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.834136009216309,8.332548141479492,2.5015878677368164,0.0,True,56.557491302490234,9750797.043453852,0.7800637634763081,41-41,16,16,0
2,2,4,1,16,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],11.178028106689453,9.936861991882324,1.2411656379699707,0.0,True,53.536460876464844,10060302.30021413,0.8048241840171304,41-41,16,17,0
2,1,1,2,32,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",11.589197158813477,9.834090418617489,1.6677258014678955,0.08738133311271667,True,169.8511962890625,10430357.279623665,0.8344285823698933,20-20,16,18,0
2,1,1,2,32,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",11.589197158813477,9.834090418617489,1.6677258014678955,0.08738133311271667,True,91.4471664428711,10430357.279623665,0.8344285823698933,20-20,16,18,0
4,1,2,2,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",11.770316123962402,10.899181569162478,0.8274440765380859,0.04369066655635834,True,52.5471305847168,10593365.595966125,0.84746924767729,20-20,16,20,0
4,1,2,2,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",11.770316123962402,10.899181569162478,0.8274440765380859,0.04369066655635834,True,90.29857635498047,10593365.595966125,0.84746924767729,20-20,16,20,0
4,1,4,1,16,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],12.005471229553223,9.936861991882324,2.0686094760894775,0.0,False,34.028648376464844,10805006.810955258,0.8644005448764207,41-41,16,22,2
4,1,1,4,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",12.364790916442871,11.449965589381243,0.8274438381195068,0.08738133311271667,True,86.78262329101562,11128397.00446934,0.8902717603575472,10-10-10-10,16,23,0
4,1,1,4,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",12.364790916442871,11.449965589381243,0.8274438381195068,0.08738133311271667,True,125.62371826171875,11128397.00446934,0.8902717603575472,10-10-10-10,16,23,0
