m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A10,A6000,rank,real_rank
4,1,1,2,16,zero1,False,"['A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000']","[17, 25]",20.79551124572754,19.40879596938125,1.2993342876434326,0.08738133311271667,True,84.72515106201172,9377087.38066713,0.7501669904533703,16-24,3,5,1,0
4,1,1,2,16,zero1,False,"['A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[17, 25]",20.79551124572754,19.40879596938125,1.2993342876434326,0.08738133311271667,True,84.72515106201172,9377087.38066713,0.7501669904533703,16-24,3,5,1,0
4,1,1,2,16,zero0,False,"['A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[17, 25]",20.79551124572754,19.40879596938125,1.2993342876434326,0.08738133311271667,True,132.5860595703125,9377087.38066713,0.7501669904533703,16-24,3,5,1,0
4,1,1,2,16,zero0,False,"['A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000']","[17, 25]",20.79551124572754,19.40879596938125,1.2993342876434326,0.08738133311271667,True,132.5860595703125,9377087.38066713,0.7501669904533703,16-24,3,5,1,0
4,1,1,2,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10']","[25, 17]",21.674774169921875,19.658869935781247,1.928521990776062,0.08738133311271667,True,126.42015075683594,9773563.580426108,0.7818850864340887,24-16,3,5,5,0
4,1,1,2,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10']","[25, 17]",21.674774169921875,19.658869935781247,1.928521990776062,0.08738133311271667,True,197.35321044921875,9773563.580426108,0.7818850864340887,24-16,3,5,5,0
4,1,1,2,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000']","[25, 17]",21.674774169921875,19.658869935781247,1.928521990776062,0.08738133311271667,True,126.42015075683594,9773563.580426108,0.7818850864340887,24-16,3,5,5,0
4,1,1,2,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000']","[25, 17]",21.674774169921875,19.658869935781247,1.928521990776062,0.08738133311271667,True,197.35321044921875,9773563.580426108,0.7818850864340887,24-16,3,5,5,0
16,1,1,8,4,zero0,False,"['A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10']","[5, 4, 6, 6, 6, 6, 5, 4]",21.699329376220703,21.389726119272492,0.2222210019826889,0.08738133311271667,True,78.18533325195312,9784635.985061591,0.7827708788049274,4-4-6-6-6-6-5-3,3,5,9,0
16,1,1,8,4,zero1,False,"['A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10']","[5, 4, 6, 6, 6, 6, 5, 4]",21.699329376220703,21.389726119272492,0.2222210019826889,0.08738133311271667,True,67.58318328857422,9784635.985061591,0.7827708788049274,4-4-6-6-6-6-5-3,3,5,9,0
16,1,1,8,4,zero0,False,"['A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[5, 4, 3, 6, 6, 6, 6, 6]",21.849287033081055,21.53968417285406,0.2222210019826889,0.08738133311271667,True,78.18533325195312,9852254.714659717,0.7881803771727773,4-4-3-6-6-6-6-5,3,5,11,0
16,1,1,8,4,zero1,False,"['A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[5, 4, 3, 6, 6, 6, 6, 6]",21.849287033081055,21.53968417285406,0.2222210019826889,0.08738133311271667,True,67.58318328857422,9852254.714659717,0.7881803771727773,4-4-3-6-6-6-6-5,3,5,11,0
16,1,1,8,4,zero0,False,"['A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000']","[7, 6, 4, 3, 4, 6, 6, 6]",21.947383880615234,21.539470348854064,0.3205314576625824,0.08738133311271667,True,115.75212097167969,9896488.42934105,0.7917190743472841,6-6-4-3-4-6-6-5,3,5,13,0
16,1,1,8,4,zero0,False,"['A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000']","[7, 4, 3, 4, 6, 6, 6, 6]",21.947383880615234,21.539470348854064,0.3205314576625824,0.08738133311271667,True,115.75212097167969,9896488.42934105,0.7917190743472841,6-4-3-4-6-6-6-5,3,5,13,0
16,1,1,8,4,zero1,False,"['A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000']","[7, 4, 3, 4, 6, 6, 6, 6]",21.947383880615234,21.539470348854064,0.3205314576625824,0.08738133311271667,True,100.53553771972656,9896488.42934105,0.7917190743472841,6-4-3-4-6-6-6-5,3,5,13,0
16,1,1,8,4,zero1,False,"['A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000']","[7, 6, 4, 3, 4, 6, 6, 6]",21.947383880615234,21.539470348854064,0.3205314576625824,0.08738133311271667,True,100.53553771972656,9896488.42934105,0.7917190743472841,6-6-4-3-4-6-6-5,3,5,13,0
16,1,1,8,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000']","[7, 6, 6, 4, 3, 4, 6, 6]",21.959840774536133,21.55192796923624,0.3205314576625824,0.08738133311271667,True,100.53553771972656,9902105.477241807,0.7921684381793446,6-6-6-4-3-4-6-5,3,5,17,0
16,1,1,8,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000']","[7, 6, 6, 4, 3, 4, 6, 6]",21.959840774536133,21.55192796923624,0.3205314576625824,0.08738133311271667,True,115.75212097167969,9902105.477241807,0.7921684381793446,6-6-6-4-3-4-6-5,3,5,17,0
16,1,1,8,4,zero1,False,"['A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10']","[5, 6, 6, 6, 6, 5, 4, 4]",22.01675796508789,21.707155583654043,0.2222210019826889,0.08738133311271667,True,67.58318328857422,9927770.5096115,0.79422164076892,4-6-6-6-6-5-4-3,3,5,19,0
16,1,1,8,4,zero0,False,"['A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10']","[5, 6, 6, 6, 6, 5, 4, 4]",22.01675796508789,21.707155583654043,0.2222210019826889,0.08738133311271667,True,78.18533325195312,9927770.5096115,0.79422164076892,4-6-6-6-6-5-4-3,3,5,19,0
16,1,1,8,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10']","[7, 6, 6, 6, 5, 4, 4, 4]",22.11485481262207,21.706941759654047,0.3205314576625824,0.08738133311271667,True,115.75212097167969,9972004.224292833,0.7977603379434267,6-6-6-6-5-4-4-3,3,5,21,0
16,1,1,8,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10']","[7, 6, 6, 6, 5, 4, 4, 4]",22.11485481262207,21.706941759654047,0.3205314576625824,0.08738133311271667,True,100.53553771972656,9972004.224292833,0.7977603379434267,6-6-6-6-5-4-4-3,3,5,21,0
16,1,1,8,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000']","[7, 6, 6, 6, 4, 3, 4, 6]",22.125215530395508,21.717302952054045,0.3205314576625824,0.08738133311271667,True,100.53553771972656,9976676.06691983,0.7981340853535863,6-6-6-6-4-3-4-5,3,5,23,0
16,1,1,8,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A10', 'A10', 'A10', 'A6000']","[7, 6, 6, 6, 4, 3, 4, 6]",22.125215530395508,21.717302952054045,0.3205314576625824,0.08738133311271667,True,115.75212097167969,9976676.06691983,0.7981340853535863,6-6-6-6-4-3-4-5,3,5,23,0
8,1,1,4,8,zero0,False,"['A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[9, 8, 12, 13]",22.141714096069336,21.428862283163113,0.6254706382751465,0.08738133311271667,True,96.31890869140625,9984115.580675999,0.7987292464540798,8-8-12-12,3,5,25,0
8,1,1,4,8,zero1,False,"['A6000', 'A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000']","[9, 8, 12, 13]",22.141714096069336,21.428862283163113,0.6254706382751465,0.08738133311271667,True,73.18273162841797,9984115.580675999,0.7987292464540798,8-8-12-12,3,5,25,0
8,1,1,4,8,zero1,False,"['A10', 'A10', 'A10', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[9, 8, 12, 13]",22.141714096069336,21.428862283163113,0.6254706382751465,0.08738133311271667,True,73.18273162841797,9984115.580675999,0.7987292464540798,8-8-12-12,3,5,25,0
